#,Title,Author,Database,Year
40,Cybrids: Integrating Cognitive and Physical Space in Architecture ,"Anders, Peter",ACADIA,1997
41,Electronic Extension: Some implications of cyberspace for the practice of architecture,"Anders, Peter",ACADIA,1999
42,Places of Mind: Implications of Narrative Space for the Architecture of Information Environments,"Anders, Peter",ACADIA,2000
43,Defining Architecture: Defining Information,"Anders, Peter",ACADIA,2000
44,Arch-OS: An Implementation of Cybrid Strategies,"Anders, Peter",ACADIA,2004
45,The Pattern That Connects,"Andersen, Paul; Salomon, David ",ACADIA,2010
46,Virtual Graffiti Three-Dimensional Paint Tools for Conceptual Modeling in Upfront,"Anderson, Lee",ACADIA,1992
47,Film Theory and Architectural Design,"Anderson, Lee",ACADIA,1994
48,Augmented Urban Experiences: Technologically Enhanced Design Research Methods for Revealing Hidden Qualities of the Built Environment,"Andreani, Stefano; Sayegh, Allen",ACADIA,2017
49,Emergent Structures Assembled by Large Swarms of Simple Robots,"Andreen, David; Jenning, Petra; Napp, Nils; Petersen, Kirstin",ACADIA,2016
50,"Digitally Designing Collaboration: Computational Approaches to Process, Practice, and Product","Andrew, Mullenix, Ryan",ACADIA,2014
51,Digital Visualization in the Teaching of Cognitive Visualization,"Angulo, A.H., Davidson, R.J. and Vï¿½squez de Velasco, G.P.",ACADIA,2001
52,Ubiquitous Training of Visual-Spatial Skills: On the Development of Mobile Applications Using Handheld Devices,"Angulo, Antonieta",ACADIA,2007
53,Responsiveness and Social Expression; Seeking Human Embodiment in Intelligent Faï¿½ades,"Anshuman, Sachin",ACADIA,2005
54,Architectural Applications of Complex Adaptive Systems,"Anzalone, Phillip and Clarke, Cory",ACADIA,2003
55,Synthetic Research,"Anzalone, Phillip",ACADIA,2006
56,Rapidly Deployed and Assembled Tensegrity System: An Augmented Design Approach,"Anzalone, Phillip; Bayard, Stephanie; Steenblik, Ralph S.",ACADIA,2017
57,"Data-Insight-Driven Project Delivery: Approach to Accelerated Project Delivery Using Data Analytics, Data Mining and Data Visualization","Aparicio, German ",ACADIA,2017
58,A Virtual Reconstruction: Isthmia Roman Bath,"Apley, Julie  ",ACADIA,2001
59,Adaptable Communication Protocols for Robotic Building Systems,"Arenas, Ubaldo; Falcï¿½n, Josï¿?Manuel",ACADIA,2013
60,vSpline: Physical Design and the Perception of Scale in Virtual Reality,"Arnowitz, Ethan; Morse, Christopher; Greenberg, Donald P. ",ACADIA,2017
61,Algorithm For The Automatic Design Of A Shading Device ,"Arumi-Noe, Francisco",ACADIA,1995
62,Modeling Architectural Design Objectives in Physically Based Space Planning,"Arvin, Scott A. and House, Donald H.",ACADIA,1999
63,Crowdsourcing Architecture: A Disruptive Model in Architectural Practice,"As, Imdat ; Angelico, Maria",ACADIA,2012
64,Crowdsourcing the Obama Presidential Center: An Alternative Design Delivery Model: Democratizing Architectural Design,"As, Imdat; Nagakura, Takehiko ",ACADIA,2017
65,Architecture and the Culture of Contingency,"Ascott, Roy",ACADIA,2007
66,Heuristic Optimization in Design,"Ashour, Yassin; Kolarevic, Branko ",ACADIA,2015
67,Spatial Nets: the Computational and Material Study of Reticular Geometries,"Askarinejad, Ali; Chaaraoui, Rizkallah ",ACADIA,2015
68,Design Algorithms after Le Corbusier,"Asojo, Abimbola Oluwatoni ",ACADIA,2000
69,Smart Architecture: Integration of Digital and Building Technologies,"Ataman, Osman",ACADIA,Ed.
70,Knowledge-based Stair Design,"Ataman, Osman ",ACADIA,1993
71,STUDIO@TEMPLE,"Ataman, Osman ",ACADIA,2000
72,Media and Design Process [Conference Proceedings],"Ataman, Osman and Bermï¿½dez",ACADIA,Ed.
73,Introduction to Concept and Form in Architecture: An Experimental Design Studio Using the Digital Media,"Ataman, Osman and Lonnman, Bruce ",ACADIA,1996
74,Building A Computer Aid for Teaching Architectural Design Concepts,"Ataman, Osman",ACADIA,1995
75,Some Experimental Results in the Assessment of Architectural Media,"Ataman, Osman",ACADIA,2000
76,Semantic Interpretation of Architectural Drawings,"Babalola, Olubi  and Eastman, Charles ",ACADIA,2001
77,"Touch, See, Make: Employing Active Touch in Computational Making","Bacharidou, Maroula",ACADIA,2017
78,Toward a Behavioral Design System: An Agent-Based Approach for Polygonal Surfaces Structures,"Baharlou, Ehsan; Menges, Achim ",ACADIA,2015
79,A Digital Design Coach for Young Designers,"Bailey, Rohan ",ACADIA,2001
80,The Intelligent Sketch: Developing a Conceptual Model for a Digital Design Assistant,"Bailey, Rohan",ACADIA,2000
81,Scripting for a New Architecture: Studies in Structural Optimization ,"Baker, William; Beghini, Alessandro; Carrion, Juan; Tort, Cenk ",ACADIA,2009
82,Spatial Presence: An Explication From an Architectural Point of View,"Balakrishnan, Bimal; Muramoto, Katsuhiko; Kalisperis, Loukas N.",ACADIA,2007
83,Computing in Design Education [ACADIA Conference Proceedings],"Bancroft, Pamela J.",ACADIA,ed.
84,The Integration of Computing into Architectural Education Through Computer Literate Faculty,"Bancroft, Pamela J. ",ACADIA,1987
85,Parametric Propagation of Acoustical Absorbers,"Banda, Pablo ",ACADIA,2010
86,Seeing  is Doing: Synthetic Tools for Robotically Augmented Fabrication in High-Skill Domains,"Bard, Joshua; Gannon, Madeline; Jacobson-Weaver, Zachary; Jeffers, Michael; Smith, Brian; Contreras, Mauricio",ACADIA,2014
87,A Representation Language for a Prototype CAD Tool for Intelligent Rooms,"Barker, Daniel and Dong, Andy",ACADIA,2005
88,Dynamic Interaction of Solids as a Design Tool,"Barnes, Thomas",ACADIA,1990
89,Parametric Affordances: What? When? How?,"Barrios, Carlos",ACADIA,2011
90,"Elitism, IT and the Modern Architect Opportunity or Dilemma","Barrow, Larry ",ACADIA,2002
91,Digital Design and Making 30 Years After ,"Barrow, Larry R.",ACADIA,2006
92,Performance House: A CADCAM Modular House System,"Barrow, Larry R.",ACADIA,2006
93,The Incorporation of Construction History into Architectural History: The HISTCON Interactive Computer Program,"Batie, David L. ",ACADIA,1996
94,Landscapes After The Bifurcation of Nature: Models for Speculative Landformations,"Beaman, Michael Leighton",ACADIA,2016
95,Responsive Shading | Intelligent Faï¿½ade Systems,"Beaman, Michael Leighton; Bader, Stefan",ACADIA,2010
96,Bio-complexity: Instructing with Relational Generatives,"Beaman, Michael",ACADIA,2008
97,Digital Design and Fabrication of Surface Structures,"Bechthold, Martin",ACADIA,2004
98,Configurations of Intensity,"Becker, Mirco",ACADIA,2014
99,FABRICATION: EXAMINING THE DIGITAL PRACTICE OF ARCHITECTURE,"Beesley, P., Cheng, N.Y.-W. and Williamson, R.S.",ACADIA,eds.
100,Hybrid Sentient Canopy: An implementation and visualization of proprioreceptive curiosity-based machine learning,"Beesley, Philip; Ilgun, Zeliha, Asya; Bouron, Giselle; Kadish, David; Prosser, Jordan; Gorbet, Rob; Kulic, Dana; Nicholas, Paul; Zwierzycki, Mateusz",ACADIA,2016
101,ACADIA 13: Adaptive Architecture,"Beesley, Philip; Omar Khan, Michael Stacey",ACADIA,2013
102,"Morphological Behavior of Shape Memory Polymers Toward a Deployable, Adaptive Architecture","Beites, Steven",ACADIA,2013
103,"MxR: A Physical Model-Based Mixed Reality Interface for Design Collaboration, Simulation, Visualization and Form Generation","Belcher, Daniel; Brian Johnson",ACADIA,2008
104,A Field in Flux: Exploring the Application of Computational Design Techniques to Landscape Architectural Design Problems,"Belesky, Philip; Monacella, Rosalea; Burry, Mark; Burry, Jane ",ACADIA,2015
105,The Aggregate of Continuum,"Bell, Brad",ACADIA,2006
106,Parametric Precast Concrete Panel System,"Bell, Brad",ACADIA,2012
107,Reconfiguring Collaboration by Computational Means Tex-Fab: A new model for collaborative engagement,"Bell, Brad; Kevin Patrick McClellan, Andrew Vrana",ACADIA,2011
108,Casting non-repetitive Geometries with Digitally Reconfigurable Surfaces,"Bell, Brad; Read, T. Cord; Ede, Austin; Barnes, Nathan",ACADIA,2014
109,Digital Tectonics:  Structural Patterning of Surface Morphology,"Bell, Bradley",ACADIA,2004
110,ViscoPlasty,"Bennani, Sofia; Singer-Bieder, Alexandra; Michel, Agathe",ACADIA,2014
111,ArtBus: A Minimal Bus and Protocol for Distributed Interfacing in Art and Design,"Bennett, Ed",ACADIA,2009
112,reForming: Responding to Our Land in Crisis,"Benton, Sarah ",ACADIA,2009
113,"Zero-Waste, Flat-Packed, Tri-Chord Truss: Continued Investigations of Structural Expression in Parametric Design""","Beorkrem, Chris ; Corte, Dan",ACADIA,2012
114,ADAM - Architectural Design Applications Model,"Bergeson, Donald E. and Cetin, Randal F.",ACADIA,1986
115,CYBERjack,"Berk, Michael ",ACADIA,1999
116,Cyberprint: Toward an Architecture of Being,"Bermudez, J., Agutter, J., Brent, L., Syroid, N.,  Gondeck-Becker, D., Westenskow, D., Foresti, S. and Sharir, Y.",ACADIA,2000
117,Interfacing Virtual & Physical Spaces through the Body: The cyberPRINT Project,"Bermudez, J., Agutter, J., Syroid, N., Lilly, B., Sharir, Y., Lopez, T.,  Westenskow, D. and Foresti, S.",ACADIA,2002
118,"Data Representation Architecture: Visualization Design Methods, Theory and Technology Applied to Anesthesiology"," Bermudez, J., Agutter, J., Westenskow, D., Foresti, S., Zhang, Y., Gondeck-Becker, D., Syroid, N., Lilly, B., Strayer, .D. and Drews, F. ",ACADIA,2000
119,Architecture in Digital Space: Actual and Potential Markets,"Bermudez, Julio and King, Kevin",ACADIA,1995
120,Media Interaction & Design Process: Establishing a Knowledge Base,"Bermudez, Julio and King, Kevin",ACADIA,1998
121,Designing Architectural Experiences: Using Computers to Construct Temporal 3D Narratives,"Bermudez, Julio",ACADIA,1995
122,Information Visualization,"Bermï¿½dez, Julio and Foresti, Stefano ",ACADIA,2003
123,USL/State Facility Planning and Control Automation Pilot Project,"Bernard, Rusty",ACADIA,1989
124,APPROPRIATE LEVELS OF ACCESS: AN EMPIRICAL STUDY ON THE AVAILABILITY OF COMPUTERS IN STUDIO,"Bernhardt, Matthew and Blostein, Beth ",ACADIA,2003
125,Creating Metallic Color Sequences for an Architectural Wall,"Berrier, Seth; Gary Meyer; Clement Shimizu",ACADIA,2008
126,A Passive System for Quantifying Indoor Space Utilization,"Berry, Jaclyn; Park, Kat",ACADIA,2017
127,Low Fidelity,"Besler, Erin",ACADIA,2012
128,Bending-Active Bundled Structures: Preliminary Research and Taxonomy Towards an Ultra-Light Weight Architecture of Differentiated Components,"Bessai, Tom",ACADIA,2013
129,Architectural Genomics,"Besserud, Keith; Joshua Cotten",ACADIA,2008
130,Understanding and Assisting CAD Users in the Real World,"Bhavnani, S., Flemming, U., Forsythe, D.E., Garrett, J.H., and Shaw, D.S.",ACADIA,1995
131,Rapid Type Coffee Pod,"Bieg, Kory",ACADIA,2013
132,Caret 6,"Bieg, Kory",ACADIA,2014
133,Caret 6 and the Digital Revival of Gothic Vaults,"Bieg, Kory",ACADIA,2014
134,Design Informatics,"Biloria, N., Oosterhuis, K. and Aalbers, C.",ACADIA,2005
135,Morphogenomic Urban and Architectural Systems: An Investigation into Informatics Oriented Evolution of Form: The Case of the A2 Highway,"Biloria, Nimish",ACADIA,2008
136,Computational Tectonics,"Bitonti, Francis ",ACADIA,2009
137,Game Engine Computation for Serious Engineering: Visualisation and Analysis of Building Facade Movements as a Consequence of Loads on the Primary Structure,"Black, Conor; Forwood, Ed",ACADIA,2017
138,Balancing Computer Use and Design Content in Studio Projects,"Blazquez, Oscar and Hardin, Mary",ACADIA,1998
139,Digital Tracery: Fabricating Traits,"Blough, Lawrence ",ACADIA,2010
140,DOT/O,"Bogosian, Biayna; Sanchez, Jose",ACADIA,2014
141,Virtual Reality: Technology of the Future or Playground of the Cyberpunk?,"Bollinger,  Elizabeth and Hill, Pamela ",ACADIA,1993
142,Integrating CADD into the AEC Process - A Case Study,"Bollinger, Elizabeth",ACADIA,1985
143,Position Paper for ACADIA 2006,"Bollinger, Elizabeth",ACADIA,2006
144,Modeling Architectural Forms through Replacement Operations,"Bonn, Markus",ACADIA,1989
145,The Informed Wall: applying additive digital fabrication techniques on architecture,"Bonswetch, T., Kobel, D., Gramazio, F., Kohler, M.",ACADIA,2006
146,CAO - Centro Asistido Por Ordenador,"Bonta, Pedro ",ACADIA,1999
147,The Dynamics of Physical Ambiences,"Bontemps, Arnaud; Potvin, Andrï¿? Demers, Claude",ACADIA,2007
148,Adding Performance Criteria to Digital Fabrication: Room-Acoustical Information of Diffuse Respondent Panels,"Bonwetsch, Tobias; Ralph Baertschi ;Silvan Oesterle",ACADIA,2008
149,Vacuum Insulated Tubes,"Boone, Elizabeth",ACADIA,2014
150,Furlined,"Borden, Gail",ACADIA,2014
151,Edible Infrastructures: Emergent Organizational Patterns for the Productive City,"Borowski, Darrick ; Poulimeni, Nikoletta ; Janssen, Jeroen",ACADIA,2012
152,An Image-based and Knowledge-based System for Efficient Architectural and Urban Modeling,"Boucard, D., Huot, S., Colin, Ch., Hï¿½gron,  G. and Siret, D. ",ACADIA,2002
153,Computer-Aided Learning of Structural Behavior,"Bourque, Paul N. ",ACADIA,1988
154,(Un) Intended Discoveries Crafting the Design Process,"Boza, Luis Eduardo",ACADIA,2006
155,The Mind's Eye: Movement and Time in Architecture ,"Brady, Darlene A. ",ACADIA,1997
156,Skin That Fits:  Designing and constructing cladding systems with as-built structural data,"Brandt, Jordan",ACADIA,2005
157,Information Architecture,"Brath, Richard",ACADIA,1991
158,Parametric Robot Control: Integrated CAD/CAM for Architectural Design,"Braumann, Johannes; Brell-Cokcan, Sigrid",ACADIA,2011
159,Towards New Robotic Design Tools: Using Collaborative Robots within the Creative Industry,"Braumann, Johannes; Stumm, Sven; Brell-Cokcan, Sigrid",ACADIA,2016
160,A New Parametric Design Tool for Robot Milling,"Brell-Cokcan, Sigrid; Braumann, Johannes ",ACADIA,2010
161,Toward Adaptive Robot Control Strategies ,"Brell-Cokcan, Sigrid; Braumann, Johannes ",ACADIA,2015
162,Robotic Production Immanent Design: Creative toolpath Design in Micro and Macro Scale,"Brell-Cokcan, Sigrid; Braumann, Johannes",ACADIA,2014
163,Towards a Digital Theory of Affect,"Bressani, Martin ",ACADIA,2010
164,Information Controlled Erosion,"Briscoe, Danelle ",ACADIA,2010
165,Parametric Planting: Green Wall System Research + Design using BIM ,"Briscoe, Danelle",ACADIA,2014
166,Reconfiguring Frit: Serendipity in Digital Design Processes,"Briscoe, Danelle; Prentice, Reg",ACADIA,2013
167,A New Communication Model for Architecture Using Video and 3D Computer Animated Graphics,"Brooks, H. Gordon",ACADIA,1988
168,Nurturing Design Intuition in Energy Software,"Brown, G.Z. and Novitski, Barbara-Jo ",ACADIA,1986
169,A Macintosh Design Studio,"Brown, G.Z. and Novitski, Barbara-Jo ",ACADIA,1988
170,Integrating Computers into the Design Studio - A Critical Evaluation,"Brown, John L. ",ACADIA,1987
171,Designing With Data: Moving Beyond The Design Space Catalog,"Brown, Nathan; Mueller, Caitlin",ACADIA,2017
172,Robotic Softness: An Adaptive Robotic Fabrication Process for Woven Structures,"Brugnaro, Giulio; Baharlou, Ehsan; Vasey, Lauren; Menges, Achim",ACADIA,2016
173,Adaptive Robotic Training Methods for Subtractive Manufacturing,"Brugnaro, Giulio; Hanna, Sean",ACADIA,2017
174,Material Parameters and Digitally Informed Fabrication of Textured Metals,"Bruscia, Nicholas; Romano, Christopher",ACADIA,2013
175,project 3XLP - Porous Skin Prototype,"Bruscia, Nicholas; Romano, Christopher",ACADIA,2014
176,"Zero-waste, Flat Pack Truss Work: An Investigation of Responsive Structuralism","Buell, Samantha; Shaban, Ryan; Corte, Daniel; Beorkrem, Christopher",ACADIA,2011
177,Parametric Form-Based Codes: Incorporation of land-use regulations into Building Information Models,"Bum Kim, Jong ; Mark J. Clayton, Wei Yan",ACADIA,2011
178,An Evolutionary System for Mass Customization under Prescriptive Design Conditions,"Bunster, Victor",ACADIA,2013
179,South Australian Health and Medical Research Institute (Sahmri),"Burger, Shane",ACADIA,2014
180,A Prototype Voice Operated Computer Aided Design Workstation Intended for High Productivity Commercial & Educational Use,"Burnett, J. Jeffrey ",ACADIA,1985
181,Process Through Practice: Synthesizing a Novel Design and Production Ecology,"Burry, Jane ; Burry, Mark ; Tamke, Martin ; Thomsen, Mette Ramsgard ; Ayres, Phil ; Leon, Alex Pena de ; Davis, Daniel ; Deleuran, Abders ; Nielson, Stig ; Riiber, Jacob",ACADIA,2012
182,Understanding Heat Transfer Performance for Designing Better Faï¿½ades,"Burry, Jane; Salim, Flora; Williams, Mani; Anton Nielsen, Stig; Pena de Leon, Alex; Sharaidin, Kamil; Burry, Mark",ACADIA,2013
183,"Sagrada Famï¿½lia Rosassa: Global Computeraided Dialogue between Designer and Craftsperson (Overcoming Differences in Age, Time and Distance)","Burry, M., Burry, J. and Faulï¿? J.",ACADIA,2001
184,Introductory Computer Programming as a Means for Extending Spatial and Temporal Understanding,"Burry, M., Datta, S. and Anson, S.",ACADIA,2000
185,"THE SAGRADA FAMï¿½LIA - WEST TRANSEPT ROSE WINDOW, A RAPID PROTOTYPE","Burry, Mark ",ACADIA,2004
186,Point-Cloud-Paint: A Software Tool for Speculative Urban Design Using Three-Dimensional Digital Collage,"Byrne, Ultan ",ACADIA,2017
187,Function Follows Form: 10 Sticks (and a Bench),"Cabrinha, Mark ",ACADIA,2003
188,Parametric Sensibility: Cultivating the Material Imagination in Digital Culture ,"Cabrinha, Mark ",ACADIA,2010
189,From Bï¿½zier to NURBS: Integrating Material and Digital Techniques through a Plywood Shell,"Cabrinha, Mark",ACADIA,2005
190,Synthetic Pedagogy,"Cabrinha, Mark",ACADIA,2006
191,Gridshell Tectonics: Material Values Digital Parameters,"Cabrinha, Mark",ACADIA,2008
192,Simplexity: Unitized FRP Faï¿½ade Systems,"Cabrinha, Mark; Ponitz, Jeff",ACADIA,2014
193,A Fully Integrated Use of Available Media and of Computer Technology for Up-to-date Educational Tools in Architecture,"Cajati, Claudio",ACADIA,1986
194,A Genetic Algorithm Tool for Design Optimization,"Caldas, Luisa G. and Norford, Leslie K.",ACADIA,1999
195,SOME EPISTEMOLOGICAL CONCERNS REGARDING ARTIFICIAL INTELLIGENCE AND KNOWLEDGE-BASED APPROACHES TO ARCHITECTURAL DESIGN - A RENEWED AGENDA,"Calvo, Charles M. ",ACADIA,1993
196,Compu-Kinetic Mediapod,"Campbell, Cameron ",ACADIA,2009
197,Digital Design Pedagogy Setting the Foundation for Digital Design in the Architecture Curriculum,"Campbell, Cameron",ACADIA,2006
198,What Have We Done?!? Design Media and Processes in the Creation of Cybrids,"Campbell, Dace A. ",ACADIA,2000
199,Architectural Construction Documents on the Web: VRML as a Case Study,"Campbell, Dace",ACADIA,1998
200,Ambient Space,"Cantrell, Bradley E.",ACADIA,2007
201,Abstraction Language: Digital/ Analog Dialogues,"Cantrell, Bradley E.; Yates, Natalie A.",ACADIA,2009
202,"Synthetic Ecologies: protocols, simulation, and manipulation for indeterminate landscapes","Cantrell, Bradley; Holzman, Justine",ACADIA,2014
203,Parametric Faï¿½ade Systems: Performance-Driven design for ultra-thin buildings in Hong Kong,"Carlow, Jason",ACADIA,2014
204,Parameters of a Digital Design Foundation,"Carraher, Erin",ACADIA,2011
205,Computer Supported Design Studio,"Carrara, G., Fioravanti, A., Novembri, G., Brusasco, P.L., Caneparo, L. and Zorgno, A.M.",ACADIA,1999
206,Multi-Model Representation of Design Knowledge,"Carrara, Gianfranco and Kalay, Yehuda E.",ACADIA,1992
207,Knowledge-Based Computational Support for Architectural Design,"Carrara, Gianfranco, Kalay, Yehuda E. and Novembri, Gabriele",ACADIA,1994
208,Humanizing Parametricism,"Castellano, Devan",ACADIA,2011
209,Performative Topologies: An Evolutionary Shape Optimization Framework for Daylighting Performance Coupling a Particle-Spring System With an Energy Simulation Tool,"Castorina, Giulio",ACADIA,2012
210,Mass-Customization in Design Using Evolutionary and Parametric Methods,"Ceccato, C., Simondetti, SA. and Burry, M.C.",ACADIA,2000
211,From Emergence of Form to the Forming of Logic,"Ceccato, Cristiano ",ACADIA,2003
212,ceramiSKIN: Digital Possibilities for Ceramic Cladding Systems,"Celento, David; Del Harrow",ACADIA,2008
213,Potentials for Multi-dimensional Tessellations in Architectural Applications,"Celento, David; Harriss, Edmund",ACADIA,2011
214,Elementary School: The Design Process,"Cerone, J. and Johnston, S.",ACADIA,2003
215,Anisoptera; Anisopteran Deformation and the Latent Geometric Patterns of Wood Envelopes,"Chaaraoui, Rizkallah; Askarinejad, Ali",ACADIA,2015
216,Bidirectional Interoperability Between CAD and Energy Performance Simulation Through Virtual Model System Framework,"Chaisuparasmikul, Pongsak",ACADIA,2006
217,Chemical Signaling as a Model for Digital Process in Architecture,"Chalmers, Chris",ACADIA,2008
218,Where is this place?,"Champion, Erik and Dave, Bharat",ACADIA,2002
219,A Virtual Reality Tool to Implement City Building Codes on Capitol View Preservation,"Chan, Chiu-Shui",ACADIA,2000
220,Undo Reinterpreted,"Chang, W. and Woodbury, R.",ACADIA,2003
221,In(di)visible: Computing Immersive Environments through Hybrid Senses,"Charbel, Hadin; Lï¿½pez, Dï¿½borah",ACADIA,2017
222,Evaluating the Complexity of CAD Models as a Measure for Student Assessment,"Chase, Scott and Murty, Paul",ACADIA,2000
223,Issues for User Interaction Models: Grammar Based Design:,"Chase, Scott C. ",ACADIA,1999
224,Design Modeling With Shape Algebras and Formal Logic,"Chase, Scott C.",ACADIA,1996
225,Square Peg in a Round Hole or Horseless Carriage? Reflections on the Use of Computing in Architecture,"Chastain, Th., Kalay, Y.E. and Peri, Ch.",ACADIA,1999
226,Cultivating Design Competence: Online Support for the Beginning Design Studio,"Chastain, Thomas and Elliott, Ame",ACADIA,1998
227,Knitectonics,"Chaturvedi, Sanhita; Colmenares, Esteban; Mundim, Thiago",ACADIA,2011
228,DVIN: A Dual View Information Navigation System,"Chen, Chien-Lin; Johnson, Brian R.",ACADIA,2007
229,"PLACE, TIME AND THE VIRTUAL DESIGN STUDIO ","Chen, N., Kvan, T., Wojtowicz, J., Van Bakergem, D., Casaus, T., Davidson, J., Fargas, J., Hubbell, K., Mitchell,           W., Nagakura, T. and Papazian, P.",ACADIA,1994
230,Depicting Daylighting: Types of Multiple Image Display,"Cheng, Nancy Yen-wen  and  Pat-Yak Lee, Edwin",ACADIA,2001
231,Teaching CAD with Language Learning Methods ,"Cheng, Nancy Yen-wen ",ACADIA,1997
232,Digital Design at UO,"Cheng, Nancy Yen-wen ",ACADIA,1999
233,Evolution of Digital Design Teaching: A Course as Microcosm for Educational Issues,"Cheng, Nancy Yen-wen ",ACADIA,2001
234,Digital Curricula: Effective Integration Of Digital Courses - A Delicate Balance,"Cheng, Nancy Yen-wen ",ACADIA,2003
235,Playing with Digital Media:  Enlivening Computer Graphics Teaching,"Cheng, Nancy Yen-Wen",ACADIA,1999
236,Forewords: The Need for Nimble Thinking,"Cheng, Nancy Yen-wen",ACADIA,2011
237,Serendipity and Discovery in a Machine Age: Craft and a CNC Router,"Cheng, Nancy Yen-wen; Hegre, Erik ",ACADIA,2009
238,Communicating Climate-Smart Scenarios with Data-Driven Illustrations,"Cheng, Nancy Yen-wen; Lockyear, Brian",ACADIA,2014
